გამოსხივება	გამოსხივ ება
ვოკალზე	ვოკალ ზე
საუკეთესოდ	სა უკეთეს ოდ
ტურინში	ტურინ ში
შეგრძნებით	შეგრძნებ ით
შრომატევადი	შრომატევ ად ი
მისული	მისულ ი
ხველა	ხველ ა
ნინომ	ნინო მ
დაწინაურდნენ	დაწინაურ დნენ
ხარკის	ხარკ ის
შევიდნენ	შე ვიდნენ
ღმერთს	ღმერთ ს
სუბიექტების	სუბიექტ ების
დაზუსტებული	დაზუსტ ებული
ფორმების	ფორმ ების
ვთქვა	ვ თქვა
ნიშაში	ნიშ აში
შერაცხა	შერაცხ ა
პრინცს	პრინც ს
სამკაულების	სამკაულ ების
ჩანახატები	ჩა ნახატ ები
წევრები	წევრ ები
მფარველობა	მფარველ ობა
ეგვიპტელებს	ეგვიპტელ ებს
ოსმალეთმა	ოსმალეთ მა
პრობლემებს	პრობლემ ებს
ქალებში	ქალ ებში
გალებმა	გალ ებმა
პრინცესა	პრინცესა
მისკენ	მ ისკენ
მოსახლენი	მოსახლე ნი
ამქვეყნად	ამ ქვეყნ ად
მოძმე	მოძმე
გამოქვაბულს	გამო ქვაბულ ს
შევატყვე	შევა ტყვე
თეატრებში	თეატრ ებში
განისაზღვრა	განი საზღვრ ა
სამრეკლოს	სამრეკლ ოს
დაადგინოს	დაადგინ ოს
მოქალაქედ	მოქალაქე დ
ელექტრონები	ელექტრონ ები
ძველები	ძველ ები
კონცერტის	კონცერტ ის
თუხარელი	თუხარ ელი
ნაკეთობანი	ნაკეთობ ანი
უღარიბეს	უღარიბეს
ადრექრისტიანული	ადრე ქრისტიან ული
შეემუშავებინა	შეემუშავ ებინა
მხიარული	მხიარულ ი
მონაწილე	მონაწილე
სიით	სი ით
შეგუებული	შეგუ ებული
ყბის	ყბ ის
კობალტის	კობალტის
სფეროშიც	სფერო შიც
მარხავდნენ	მარხ ავდნენ
გლეხები	გლეხ ები
შენარჩუნების	შენარჩუნ ების
ადრიანემ	ადრიან ემ
გამიჯვნის	გამიჯვ ნის
გარიგებაში	გარიგებ აში
არაბებთან	არაბ ებთან
გავრცელებამ	გავრცელ ებამ
მიწოდების	მიწოდებ ის
ნა	ნა
ოპერაციულ	ოპერაცი ულ
ნმ	ნმ
წინაპირობას	წინაპირობა ს
ენებიდან	ენ ებიდან
სვიფტის	ს ვიფტ ის
ლიბერალურ	ლიბერალ ურ
დაუყენდა	დაუ ყენდა
ოლდენბურგის	ოლდენ ბურგის
გონების	გონ ების
მონასტერთან	მონასტერ თან
ტირიფის	ტირიფ ის
ციკლონი	ციკლონ ი
მონარქის	მონარქი ს
სომხურ	სომხურ
მდევარი	მდევარ ი
მეორენი	მეორე ნი
არსს	არსს
ნომერ	ნომერ
სტივენსი	სტივენ ს ი
დილანის	დილანი ს
ყიდიან	ყიდიან
სარიტუალო	სა რიტუალ ო
თვლების	თვლ ების
ინგლისურიდან	ინგლისურ იდან
ივ	ივ
გარღვევის	გარღვევ ის
კოლეგა	კოლეგ ა
პიესებში	პიეს ებში
ძველებური	ძველებურ ი
პანთეონი	პანთეონ ი
შიხუანდის	ში ხუან დ ის
იტალიაში	იტალი აში
ძნელდება	ძნელ დება
ვარგისია	ვარგის ია
პროცესორის	პროცეს ორის
შესრულებულა	შესრულებულ ა
ჯენერალ	ჯენერალ
ბუნდესლიგის	ბუნდეს ლიგის
კონსოლიდაცია	კონსოლიდ აცია
შეტაკება	შეტაკ ება
წყვილთა	წყვილ თა
ახალწვეული	ახალ წვეული
შემოავლო	შემო ავლ ო
ქაიხოსროს	ქაიხოსრო ს
წარჩინებული	წარჩინებულ ი
გამოუყო	გამო უყო
სალექციო	სა ლექცი ო
მიწების	მიწ ების
ურბნისის	ურ ბნის ის
უჩვეულოდ	უჩვეულო დ
ბუქარესტი	ბუქარესტ ი
დეივისს	დეივის ს
გააგზავნა	გაა გზავნა
მართვა	მართვ ა
იმედოვნებდნენ	იმედოვნებ დნენ
დასასრულისთვის	დასასრულ ისთვის
სანაპიროების	სანაპირო ების
ანატომიას	ანატომი ას
ქვეყნებისათვის	ქვეყნებ ისათვის
კორდილიერების	კორდილიე რების
ბუნებრივმა	ბუნებრივ მა
ციპრასი	ციპრასი
დაიდგა	და ი დგა
მანჩესტერული	მანჩესტერ ული
კალციუმისა	კალციუმის ა
ჩამოაგდო	ჩამო აგდო
ორთქლით	ორთქლ ით
პატრიკის	პატრიკ ის
აჩერებდა	აჩერ ებდა
უანდერძა	უ ანდერძ ა
გასტროლები	გასტროლ ები
ბათუმის	ბათუმ ის
მართლმადიდებელმა	მა რთლმადიდებ ელმა
ალექსანდრე	ალექსანდრ ე
ქვედაზე	ქვედა ზე
ტურ	ტურ
დედობრივი	დედ ობრივი
საწარმო	საწარმო
მათემატიკურ	მა თემატიკ ურ
ლუსის	ლუსი ს
ზოგადსაგანმანათლებლო	ზოგადსა განმანათლებ ლო
კლუბში	კლუბ ში
საოცარ	საოცარ
ბატონყმობის	ბატონყმ ობის
უღალატეს	უღალატ ეს
ნაწილია	ნაწილ ია
ჩამონადენი	ჩამონადენი
იდეა	იდეა
მოტივირებული	მოტივ ირებული
ტელურიდი	ტელური დი
ძლიერს	ძლიერს
ფერენც	ფერენც
დახმარებოდა	დახმარ ებოდა
გამხმარი	გამხმარ ი
იყარა	იყარა
ტაჯიკეთის	ტაჯიკ ეთის
ფატმა	ფატ მა
დაბრკოლების	დაბრკოლ ების
დახვრეტა	დახვრეტ ა
ლიბერალების	ლიბერალ ების
მსვლელობის	მსვლელობ ის
ჟოზე	ჟო ზე
რუსებმა	რუს ებმა
თანმიმდევრობის	თანმიმდევრობ ის
ოფიცრებთან	ოფიცრ ებთან
უნგრეთმა	უნგრეთ მა
შენახულია	შენახულ ია
პოლინეზიაში	პოლინეზი ა ში
მიბმული	მი ბმული
ხორენაცი	ხორენაც ი
მაღალმთის	მაღალ მთის
ფილიპის	ფილიპ ის
შეუწყოს	შეუწყ ოს
ოთხმა	ოთხ მა
კაცია	კაც ია
ბიუჯეტში	ბიუჯეტ ში
ითარგმნება	ითარგმნ ება
ელას	ელ ას
ფერის	ფერის
კუნძულად	კუნძულ ად
დაითანხმა	დაითანხმ ა
სანდენსის	სანდენ ს ის
ელისაბედი	ელისაბედ ი
ცხოველად	ცხოველ ად
ზემოთხსენებული	ზემოთ ხსენებულ ი
ნაამბობი	ნა ამბობ ი
დაატყდა	დაა ტყდა
მოდგმას	მოდგმ ას
საქართველოდან	საქართველო დან
მოდერნისტული	მოდერნ ისტული
შესუსტება	შესუსტ ება
კვადრატს	კვადრატ ს
უკაბელო	უ კაბელ ო
წვერა	წვერ ა
ვაგზალი	ვაგზალ ი
ტრევორ	ტრე ვორ
გმირებით	გმირ ებით
დავები	დავ ები
იზოტოპების	იზოტოპ ების
დაავადება	დაავად ება
დუელი	დუელ ი
ნივთი	ნივთ ი
ბოროტმოქმედი	ბოროტ მოქმედ ი
კალენდარს	კალენდარ ს
სპეცდანიშნულების	სპეც დანიშნულ ების
ქუსლებთან	ქუსლ ებთან
სანდინოს	სან დინოს
ფანი	ფან ი
აბულაძე	ა ბულაძე
გეის	გეის
დაუღალავად	დაუღალავ ად
ბრიუს	ბრიუს
მიმართვის	მიმართ ვ ის
პატიებას	პატი ებას
პირველში	პირველ ში
ფანჯრისას	ფანჯრ ისას
დაამტკიცეს	დაამტკიც ეს
ჩამოყალიბდნენ	ჩამოყალიბ დნენ
ქვეყნებიდან	ქვეყნ ებიდან
ფარს	ფარს
კალთაზე	კალთ აზე
ბაგრატმა	ბაგრატ მა
გაასახლეს	გა ასახლეს
ნიდერლანდის	ნიდერლანდ ის
სანდერლენდში	ს ანდერლენდ ში
ქვევრი	ქვევრი
თვითმყოფადობის	თვითმყოფ ად ობის
პერეს	პერეს
მამაკაცთა	მამაკაც თა
შეფასების	შეფას ების
ტორპედოში	ტორპედო ში
ქარჩოხის	ქარ ჩოხ ის
გამავრცელებელ	გამავრცელ ებელ
გამოცემაც	გამოცემ აც
რეფლექსები	რეფლექ ს ები
სამრეკლო	სამრეკლ ო
ეკლესიასა	ეკლესი ასა
ინტერესებში	ინტერეს ებში
მხედველობა	მხედველობ ა
დაიქირავა	დაიქირავ ა
ვაკანსიაზე	ვაკან ს ია ზე
სენაკები	სენაკ ები
უმდიდრესი	უმდიდრეს ი
იუსტინიანეს	ი უსტინიანე ს
ჰუკის	ჰუკ ის
მორიაში	მორ იაში
სოფელთან	სოფელ თან
ჩეჩნეთში	ჩეჩნეთ ში
უფლებამოსილებით	უფლება მოსილ ებით
აქტები	აქტ ები
რელიგიაში	რელიგი აში
დახვრეტის	დახვრეტ ის
კოლექტივთან	კოლექტივ თან
ურთიერთობებზე	ურთიერთობ ებზე
საპატარძლოს	სა პატარ ძლო ს
ბაზაზეც	ბაზა ზეც
თაღები	თაღ ები
არიენი	არი ენი
გადაურჩება	გადაურჩ ება
მიზნით	მიზნ ით
მოხვდებიან	მოხვდ ებიან
დართ	დართ
პიესის	პიეს ის
ეკლესიებს	ეკლესი ებს
დაიტბორა	და იტბორ ა
შემთხვევის	შემთხვევ ის
საქარავნო	სა ქარავნ ო
გატანის	გატან ის
თეატრმა	თეატრ მა
აზევებული	აზევ ებული
აბრაამ	აბრაამ
უსჯულოებმა	უსჯულო ებმა
კმ	კმ
კენჭი	კენჭ ი
ფილიმონ	ფი ლიმონ
რელიგიურმა	რელიგი ურმა
ცხოველური	ცხოველ ური
საფასური	საფასურ ი
ფურცლის	ფურცლ ის
გუმბათით	გუმბათ ით
გამოვლინებაა	გამოვლინ ება ა
განწყობას	განწყობ ას
ნაშრომზე	ნაშრომ ზე
კლასიფიცირება	კლასიფიცირ ება
გმირები	გმირ ები
გამოსაშვებ	გამოსაშვებ
დედამისს	დედამის ს
ბიგ	ბიგ
კარპატების	კარპატ ების
ლარსი	ლარსი
ნაწარმოების	ნაწარმოებ ის
სოფია	სოფი ა
ოპერაციები	ოპერაცი ები
თეოდორიხ	თეოდორ ი ხ
პალესტინაში	პალესტინ აში
რუსულად	რუს ულად
მოქანდაკე	მოქანდა კე
განმათავისუფლებელ	განმათავისუფლებელ
აღმოსავლეთისაკენ	აღმოსავლ ეთ ისაკენ
გახანგრძლივება	გა ხანგრძლივ ება
მინოსის	მინ ოს ის
გაუკეთებია	გაუკეთ ებია
შენობაა	შენობ აა
ჩამოვარდა	ჩამო ვარდა
ეკო	ეკო
უროშ	ურ ოშ
გაფრთხილება	გა ფრთხილ ება
ბასის	ბას ის
აშენდება	აშენ დება
თომასი	თომას ი
გამოფენებს	გამოფენ ებს
მიგრაციული	მიგრაცი ული
ასახულია	ასახული ა
კანდიდატს	კანდიდატ ს
გამოსახულებებია	გამოსახულ ებები ა
გაენადგურებინათ	გაე ნადგურ ებინათ
მაჟორიტარული	მაჟორიტარ ული
ვებსაიტი	ვებ საიტ ი
განშტოებაზე	განშტო ებაზე
ზამთრითა	ზამთრ ით ა
მიმზიდველს	მიმზიდველ ს
საჯარიმოში	საჯარიმო ში
სათაურს	სათაურ ს
სანატორიუმი	სა ნატორიუმ ი
რითმული	რითმ ული
მეორეჯერ	მეორე ჯერ
გურულების	გურულ ების
აგნესა	აგნე სა
ნახშირბადი	ნახშირბად ი
მეორად	მეორ ად
ყელისა	ყელ ისა
შეყვანის	შეყვან ის
ასლების	ასლ ების
ღონისძიებები	ღონისძიებ ები
საგანი	საგან ი
საშინლად	საშინლად
დარიოსის	დარიოს ის
საძიებლად	საძი ებლად
პაპმა	პაპ მა
ხასიათისა	ხასიათ ისა
აწყობს	აწყობ ს
კურთხეულ	კურთხ ეულ
საჩუქრების	ს აჩუქრ ების
უკავშირებენ	უკავშირ ებენ
ჩამომიტანა	ჩა მომ იტანა
ბელორუსია	ბელორუს ია
მოსამზადებელ	მოსამზად ებელ
ხარების	ხარ ების
ხტება	ხტ ება
ადამიანისაგან	ადამიან ისაგან
სენ	ს ენ
გარნიზონი	გარნიზონ ი
ლეჟავა	ლეჟავ ა
ლინის	ლინის
პიროლიზის	პირ ო ლიზის
ფორდის	ფორდ ის
ორდენებითა	ორდენ ებით ა
ფრონტს	ფრონტ ს
ქსოვა	ქსოვ ა
თავდასხმისაგან	თავდასხმ ისაგან
სპეც	სპეც
რობენის	რობენ ის
სიგარეტში	სიგარეტ ში
შესამცირებლად	შესამცირ ებლად
მარცვლის	მარცვლ ის
ჰილში	ჰილ ში
პლატოს	პლატო ს
ბევრნი	ბევრ ნი
გაბი	გაბი
ამთავრებენ	ამთავრ ებენ
ჯორჯიის	ჯორჯი ის
მეორეს	მეორე ს
დაიბარეს	დაიბარ ეს
ანდრონიკოვი	ანდრონიკ ო ვი
ამისათვის	ამ ისათვის
გაჩენილი	გაჩენილ ი
პოტენციალი	პოტენციალ ი
თეირანში	თეირან ში
ბრიტანელების	ბრიტანელ ების
ტემპერამენტის	ტემპ ერამენტ ის
მანსურ	მანს ურ
წყალსაცავში	წყალსაცავ ში
შეუქმნიდა	შეუქმნ ი და
ხურავს	ხურავს
შთაბეჭდილების	შთაბეჭდილ ების
პისაროს	პისარო ს
ალიზის	ა ლიზის
თარგმანები	თარგმან ები
გასროლით	გასროლ ით
განსასვენებელი	განსა სვენებელი
ტაილერი	ტაილერი
გაუარესების	გაუარეს ების
ცნობენ	ცნობენ
ბუმი	ბუმი
პოზნანის	პოზ ნანის
ადგილებით	ადგილ ებით
გამხდარიყო	გამხდარ იყო
მელნის	მელნ ის
მომწამვლელი	მომწამვლელი
სანაოსნო	სანაოსნო
კოპენჰაგენის	კ ოპენჰაგენ ის
გაცნობა	გაცნობ ა
თევზს	თევზ ს
პატარებს	პატარ ებს
ტექნოგენური	ტექნ ოგენური
აგვისტოში	აგვისტ ო ში
ჩაკეტეს	ჩაკეტ ეს
თაქთაქიშვილის	თაქთაქიშვილ ის
ბრიუსის	ბრიუს ის
ტელური	ტელური
დასტურლამალი	დასტურლამა ლი
იფეთქა	ი ფეთქ ა
ფრაიბურგის	ფრა ი ბურგის
ჯდომა	ჯდომა
ნიკოს	ნიკო ს
ჭრელი	ჭრელი
ჯაიანთსის	ჯაიანთ ს ის
გამომცემლობამ	გამომცემ ლობა მ
კოჭლი	კოჭ ლი
წამით	წამ ით
გენერალმა	გენერალ მა
ჩამოყალიბდა	ჩამოყალიბ და
პერუს	პერუ ს
ნოველა	ნოველ ა
წერილიდან	წერილ იდან
საშობაო	სა შობ ა ო
შეტანილი	შეტანილ ი
პანიპატის	პან ი პა ტის
ბიჭებს	ბიჭ ებს
ბანაკებს	ბანაკ ებს
უთმობენ	უთმობ ენ
დრამების	დრამ ების
მოიცავენ	მოიცავ ენ
შემოკლ	შემოკლ
ბიოგრაფის	ბიოგრაფი ს
განსასაზღვრად	განსა საზღვრ ად
დახრილ	დახრილ
გამოსახულებებს	გამოსახულ ებებს
დასცინის	დასცინ ის
მეტალთა	მეტალ თა
ერექტუსის	ერექტუს ის
შესადგენად	შე სადგენად
წყალგამყოფზე	წყალგამყოფ ზე
სარდლობდნენ	სარდლობ დნენ
სარწმუნოებაზე	სარწმუნო ებაზე
წერტილამდე	წერტილ ამდე
სივრცეა	სივრცე ა
კუდზე	კუდ ზე
მელიქი	მელიქ ი
ნაყოფიერების	ნაყოფიერ ების
გააქრისტიანა	გაა ქრისტიან ა
სააბატოს	სააბატო ს
შეგნების	შეგნ ების
პიროსი	პიროს ი
შეუერთდება	შეუერთ დება
პრიალა	პრიალ ა
ქვეჟანრი	ქვე ჟანრ ი
ხელსაწყოების	ხელსაწყ ო ების
ჯორი	ჯორი
წესდება	წესდებ ა
უშვებენ	უშვ ებენ
აგროვებენ	აგროვ ებენ
პლატონის	პლატონ ის
საშუალო	საშუალო
მიზიდულობის	მიზიდულ ობის
მეგობარია	მეგობარ ია
ასაკისაა	ასაკ ის აა
კუჭი	კუჭ ი
ტანბრეცილი	ტან ბრე ცილი
აგვირგვინებს	ა გვირგვინ ებს
გულგრილი	გულგრილ ი
წარმომადგენლებით	წარმომა დგენლ ებით
გადმოგვცემენ	გადმო გვცემენ
მურის	მურ ის
პოლონეთს	პოლონეთ ს
მილუოკი	მილუოკ ი
საჰარის	საჰარ ის
სამნი	სამნი
არსებით	არსებ ით
ცნობებით	ცნობ ებით
აჯანყებულმა	აჯანყებულ მა
ბიძაშვილები	ბიძაშვილ ები
განათლებით	განათლებ ით
კაცნი	კაც ნი
ექადიის	ექადი ის
ტიჩინოს	ტიჩინოს
მარტყოფის	მარტყოფი ს
ლამაზია	ლამაზ ი ა
გადმოსახლდნენ	გადმოსახლ დნენ
ავსტრალოპითეკ	ავსტრალოპ ითეკ
მაღალშემოსავლიანი	მაღალ შემოსავლ იანი
აღებული	აღ ებული
ცხელა	ცხელ ა
ჭავჭავაძის	ჭავჭავა ძის
ჯოზეფ	ჯოზეფ
ბებიაჩემთან	ბები ა ჩემ თან
კოლინზი	კოლინზ ი
პარალელურ	პარალელურ
ტანსაცმლის	ტანსაცმლ ის
ეიკონი	ეიკონი
გმირს	გმირ ს
დუშანის	დუშან ის
გარბომ	გარბო მ
მდელოები	მდელო ები
აღნიშვნისთვის	აღნიშვნ ისთვის
რეინოლდსი	რეინოლდსი
სსრკს	სსრკ ს
ჯგუფები	ჯგუფ ები
მოვლენებს	მოვლენ ებს
წყალბადი	წყალბად ი
კვაზიმოდოს	კვ აზიმოდო ს
ყუთს	ყუთ ს
იუწყებოდა	იუწყ ებოდა
თიხა	თიხ ა
გაიჩინა	გა ი ჩინა
შმიდტი	შმიდტი
აფრიკანუსი	აფრიკანუსი
მამასახლისი	მამასახლის ი
შეჯამებულია	შე ჯამ ებულია
მიახლოება	მიახლო ება
მოკავშირეებთან	მოკავშირე ებთან
ჯოუნსი	ჯოუნსი
მანჩესტერი	მანჩესტერ ი
საღი	საღ ი
დანარჩენები	დანარჩენ ები
კიროსმა	კიროს მა
ოქსფორდი	ოქსფორდ ი
იტალიამ	იტალი ამ
მთიულეთში	მთიულეთ ში
ნაწარმს	ნაწარმ ს
იარაღს	იარაღ ს
უღელტეხილს	უღელტეხილ ს
ცერემონიებში	ცერემონ ი ებში
ლიდერია	ლიდერ ია
ფუნქციებით	ფუნქცი ებით
ტასმანის	ტასმან ის
სიღრმით	სიღრმ ით
ალეურის	ალე ურის
ჩარიცხეს	ჩარიცხ ეს
მხატვრებს	მხატვრ ებს
ფილმისათვის	ფილმ ისათვის
უკმაყოფილონი	უ კმაყოფილ ონი
მოვლენებამდე	მოვლენ ებამდე
შესაცვლელად	შესაცვლელად
მცირერიცხოვანი	მცირერიცხოვან ი
ხშირი	ხშირ ი
ამოვარდა	ა მო ვარდა
მისთვის	მ ისთვის
შესულიყო	შე სულიყო
საპოვნელად	სა პოვნ ელად
ტამპლიერთა	ტამპლ იერთა
ჯიშების	ჯიშ ების
რივერ	რივერ
გარესამყაროს	გარე სამყაროს
ლიბანის	ლიბან ის
სტივი	სტივ ი
უსაფრთხო	უსაფრთხო
საზოგადო	საზოგადო
შემოსულმა	შემო ს ულ მა
გამოდგა	გამო დგა
საბჭოელებმა	საბჭო ელებმა
მუჰაფაზაში	მუჰაფაზ აში
ინტერიერში	ინტერიერ ში
წევრის	წევრ ის
მადლით	მადლ ით
დაიანა	და იან ა
პატიმრების	პატიმრ ების
ჰომო	ჰომო
ბრძანა	ბრძანა
ტყით	ტყ ით
ბერლინში	ბერლინ ში
მცირეს	მცირე ს
ჩავაცვა	ჩავაცვა
ადამიანიდან	ადამიან იდან
კალიგრაფიის	კალიგრაფი ის
დამრეც	დამრეც
ყურესთან	ყურე სთან
მწერების	მწერ ების
კონცხის	კონცხ ის
მამაცობისთვის	მამაცობ ისთვის
რაგბიში	რაგბი ში
სუსანა	სუსა ნა
შემოიკრიბა	შემო იკრიბ ა
მასიურად	მასიურ ად
ტუნისში	ტუნის ში
გადაღების	გადაღებ ის
ხაზში	ხაზ ში
კოლინზმა	კოლინზ მა
ექსპედიციაში	ექსპედიც იაში
სქელ	სქელ
ნიცა	ნიც ა
სმაუგი	სმაუგი
აივანზე	აივან ზე
შეკვეცა	შე კვეცა
ფრანსისკო	ფრანს ისკო
რომისთვის	რომ ისთვის
წავიღებ	წავ იღებ
ხეობის	ხეობ ის
ფილმებსა	ფილმ ებსა
ნეიტრალიტეტს	ნეიტრალიტეტ ს
ეთანხმებოდა	ეთანხმ ებოდა
სადესანტო	სა დესანტ ო
ბელას	ბელ ას
რედუცირებულია	რედუცირ ებულია
დაგეგმვას	დაგეგმ ვას
ვილაპარაკებთ	ვილაპარაკ ებთ
მთავრობები	მთავრობ ები
გამოსახულებები	გამოსახულ ებები
თითის	თით ის
შაიოს	შა ი ოს
ჩამოწერილი	ჩამო წერილ ი
დასრულებულა	დასრულებულ ა
მიმდინარეობისას	მიმდინარე ობის ას
ფიფა	ფიფა
ზომიერად	ზომიერ ად
ომებს	ო მ ებს
ემისია	ემ ის ი ა
კორეელი	კორე ელი
კოალიციაში	კოალიცი აში
ვერსიებით	ვერსი ებით
ლაოსს	ლაოს ს
დარელის	და რე ლის
უხსნად	უხსნად
კლივლენდის	კლივლენდ ის
ქიქოძე	ქიქოძე
ჩირქოვანი	ჩი რქოვანი
თევზების	თევზ ების
დინება	დინება
ნაწარმოებების	ნაწარმოებ ების
ხვდებოდნენ	ხვ დებოდნენ
თებეს	თ ებ ეს
ჰყოლიათ	ჰყოლ იათ
იაგუარის	იაგუარ ის
გახმაურებული	გახმაურ ებული
სანსკრიტის	სანსკრიტ ის
ასოცირდებოდა	ასოცირ დებოდა
კბილები	კბილ ები
სათავგადასავლო	ს ა თავგადასავლ ო
ტეხასში	ტეხას ში
ნიჰონშოკი	ნიჰონ შოკ ი
მკურნალობას	მკურნალობ ა ს
ნოლდორებმა	ნოლდორ ებმა
მიცვალებულთა	მიცვალებულ თა
გათავისუფლებას	გათავისუფლ ებას
სამუშაოდ	სამუშაო დ
ჭელიძე	ჭ ელიძე
ხორვატულ	ხორვატ ულ
ჩამოყალიბებული	ჩამოყალიბ ებული
შეწყვეტას	შეწყვეტ ას
ბრიჯზე	ბრიჯ ზე
ქანდაკებას	ქანდაკებ ას
რიცხვებში	რიცხვ ებში
გადაშენებული	გადაშენ ებული
მამას	მამა ს
მეი	მე ი
მკითხაობა	მკითხა ობა
სხვანი	სხვანი
ელექტროტექნიკის	ელექტრო ტექნიკ ის
პრიმატების	პრიმატ ების
სროლა	სროლა
სახეობებისაგან	სახეობ ებისაგან
გზავნიდა	გზავნიდა
კვიპროსზე	კვიპროს ზე
წყვილის	წყვილ ის
შემთხვევითი	შემთხვევ ითი
აღსანიშნად	აღსა ნიშნად
განმსჭვალული	გან მსჭვალული
ანტიპაპი	ანტი პაპ ი
არჩილმა	არჩილ მა
ხოსრო	ხოსრო
რესპუბლიკელების	რესპუბლიკ ელების
ცირკულაცია	ცირკულაცი ა
ინარჩუნებენ	ინარჩუნ ებენ
მოლეკულების	მოლეკულ ების
მოძრაობიდან	მოძრაობ იდან
მყინვარმა	მყინვარ მა
შემოზღუდული	შემოზღუდ ული
სამყოფელი	სა მყოფელი
იბრუნებს	ი ბრუნ ებს
შენახული	შე ნახულ ი
ჩაედინება	ჩა ედინება
უბნის	უბნ ის
ფიზიკოსების	ფიზიკოს ები ს
ღარიბთა	ღარიბ თა
ომები	ომ ები
ჰასანი	ჰასან ი
უარი	უარი
თქვენთვის	თქვენ თვის
ფიზიოლოგიაში	ფიზიოლოგი აში
მარქსიზმის	მარქს იზმის
მწვრთნელებს	მწვრთნელ ებს
დამალული	დამალულ ი
რეიჩელ	რეიჩელ
ოკუპაციის	ოკუპაცი ის
ათწლეულებში	ათწლეულ ებში
სასოწარკვეთილ	სასოწარკვეთ ილ
წერის	წერის
გამოწეული	გამო წეული
გაათავისუფლეს	გაათავისუფლ ეს
დაჰკრავს	დაჰ კრავს
ეთიკურ	ეთიკურ
ყლორტები	ყლორტ ები
თანაგუნდელ	თანაგუნდელ
სამკუთხედების	სამკუთხედ ების
ტროელი	ტროელი
ხუთი	ხუთი
იუგოსლავიელები	იუგოსლავი ელები
ბედნიერების	ბედნიერ ების
დანაშაულში	დანაშაულ ში
მოხიბლა	მოხიბლ ა
ფეხბურთელი	ფეხბურთელ ი
კეისართან	კეისარ თან
გაჰყვა	გაჰყვ ა
შესახებაც	შესახებ აც
თარაზული	თარაზ ული
უახლესი	უახლეს ი
კვართის	კვართ ის
ორგვარია	ორგვარი ა
ოსკარი	ო ს კარი
მაკედონური	მა კედონურ ი
ფრანგი	ფრანგ ი
ძველეგვიპტური	ძველ ეგვიპტურ ი
ევროპულ	ევროპ ულ
მრგვალ	მრგვალ
ამოვსებული	ა მოვს ებული
ამფორები	ამფორ ები
დაპყრობილ	დაპყრობ ილ
ნერვებს	ნერვ ებს
პარტიზანების	პარტიზან ების
ეკუთვნიან	ეკუთვნ იან
დატოტვილი	დატოტვილ ი
მეტიც	მეტ იც
საფეხურს	საფეხურ ს
ჯავის	ჯავ ის
პერმული	პერმულ ი
გაუგებრობა	გაუგებრ ობა
აგზავნის	ა გზავნის
ალკკ	ალკკ
ესენია	ესენი ა
გეგმით	გეგმ ით
ფესვი	ფესვ ი
ცათამბჯენის	ცათამბჯენი ს
კომისართა	კომისარ თა
მითოლოგიით	მითოლოგი ით
უხსნის	უ ხსნ ის
აბდულმეჯიდ	აბდულ მეჯიდ
სიქსერსმა	სიქსერს მა
ურთიერთდახმარების	ურთიერთ დახმარ ების
ბატკანი	ბატკანი
კაპიტალის	კაპიტალ ის
ხაზთა	ხაზ თა
ტონების	ტონ ების
ფაკულტეტზე	ფაკულტეტ ზე
მიაშურა	მიაშურ ა
პაქტის	პაქტ ის
არაორგანულ	არა ორგანულ
მივლინებული	მი ვლინ ებული
მეციხოვნეები	მეციხოვნე ები
შენობად	შენობ ად
გედების	გედ ები ს
გადმოწერა	გადმო წერა
იაა	ია ა
ნოოსფერო	ნო ოსფერო
კარზე	კარ ზე
გერმანიკული	გერმან იკული
გაერთიანებასთან	გაერთიან ებასთან
დაქუცმაცება	დაქუცმაც ება
წუთსა	წუთ სა
ქანთრის	ქანთრი ს
წყლულოვანი	წყლ ულ ოვან ი
ობიექტებად	ობიექტ ებად
ქირის	ქირ ის
კუდისა	კუდ ისა
ორსულ	ორსულ
კვებისა	კვებ ისა
ფილმთა	ფილმ თა
სხედან	ს ხედ ან
დამახინჯებული	და მახინჯ ებული
მამაჩემი	მა მა ჩემ ი
გადასასვლელი	გადა სასვლელი
რაკი	რაკი
დალასის	და ლას ის
მეფეთა	მეფე თა
იჭმება	იჭმ ება
ორგანიზაციებთან	ორგანიზაცი ებთან
თვალშისაცემი	თვალში საცემი
დაბომბვას	დაბომბვ ას
საილენთ	საილენ თ
მერქანში	მერქან ში
რეკლამა	რეკლამ ა
მონას	მონ ას
წარსულში	წარსულ ში
ბატონობა	ბატონობ ა
ველების	ველ ების
მალაქია	მა ლაქ ია
თვითმყოფადი	თვითმყოფ ად ი
თრდატის	თრდატ ის
შტაბში	შტაბ ში
მხედრულში	მხედრ ულ ში
ჩხეიძეები	ჩხეიძე ები
რიყისა	რიყ ისა
ანგელოზები	ანგელოზ ები
ათონზე	ათონ ზე
ირიგაციის	ი რიგ აციის
მორწმუნენი	მორწმუნე ნი
უბრძანა	უბრძან ა
ეწევა	ეწევ ა
უღელტეხილის	უღელტეხილ ის
გემებისთვის	გემ ებისთვის
სულუს	ს ულ უ ს
ღვთისმშობლისა	ღვთის მშობლ ისა
გაატარებდა	გაატარ ებდა
მწერებით	მწერ ებით
სტილისა	სტილ ისა
ცხოველებსა	ცხოველ ებს ა
შემთხვევების	შემთხვევ ები ს
ბროშურა	ბროშურა
ბიზანტიურ	ბიზანტი ურ
შუამდგომლობა	შუამდგომლობ ა
ფაილი	ფაილ ი
