იტალიასთან	იტალი ასთან
დაგეგმვის	დაგეგმვ ის
ფთორის	ფ თორ ის
მოეხდინა	მოეხდინა
განთავისუფლდნენ	გან თავისუფლ დნენ
მაიკროსოფტი	მაიკროსოფ ტი
აკრძალულ	აკრძალ ულ
ცოცხლად	ცოცხლ ად
ძიებას	ძიებ ას
ჩალისფერი	ჩა ლისფერი
პროპორციული	პროპორცი ული
აკუმულაციური	ა კუმ ულაციური
კოსტუმები	კოსტუმ ები
გააკრიტიკეს	გაა კრიტიკ ეს
თავით	თავ ით
ბოლქვაძე	ბოლქვაძე
ნახევარკუნძულის	ნახევარკუნძულ ის
დღისა	დღ ისა
საქმიანობაზე	საქმიანობ აზე
არასწორია	არასწორ ია
სამართალზე	სამართ ალზე
ქალმა	ქალ მა
რაიხსკანცლერი	რაიხს კანცლერ ი
ღრუბლის	ღრუბლ ის
ფუას	ფუ ას
მოერგო	მოე რგო
ჯეკი	ჯეკ ი
გერმანიკუსი	გერმანი კუსი
დახვეწა	დახვეწ ა
დარგვიდან	დარგ ვიდან
გამოსასწორებლად	გამოსა სწორებლად
გაზაფხულამდე	გაზაფხულ ამდე
ჩამოსახლებული	ჩამოსახლ ებული
გვიამბობს	გვი ამბ ობს
მოშე	მო შე
მჰც	მ ჰც
გედიკ	გე დიკ
დასახლებამდე	დასახლებ ამდე
სექსის	სექს ის
შეხედვით	შეხედ ვით
კენედიმ	კენედი მ
დაჯგუფებებს	დაჯგუფ ებებს
სიარულს	სიარულ ს
მიემართებოდა	მიემართ ებოდა
კალთებით	კალთ ებით
დაპატიჟა	და პატიჟ ა
ოჯახი	ოჯახ ი
მაგნიტური	მაგნიტ ური
აღიზიანებდა	აღიზიან ებდა
მერმა	მერ მა
ეკონომისტი	ეკონომი სტი
ეთიოპიაში	ეთიოპი აში
მთავრობები	მთავრობ ები
სოულის	სოულის
სროლაში	სროლ აში
სახლსა	სახლ სა
ვილნიუსს	ვილნიუს ს
მითუმეტეს	მით უმეტეს
ტიროდა	ტირ ოდა
ადარებენ	ადარ ებენ
სეზონისა	სეზონ ისა
საკონტრაქტო	სა კონტრაქ ტო
მომხრეებთან	მომხრე ებთან
მეუღლე	მეუღლე
ჩრდილში	ჩრდილ ში
ეწინააღმდეგებოდნენ	ე წინააღმდეგ ებოდნენ
მეტამორფული	მეტამორფ ული
განუვითარდა	განუვითარ და
არგენტინელმა	არგენტინ ელმა
ფულიც	ფულ იც
ოტოკარ	ოტო კარ
ღარი	ღარ ი
მოკლავს	მოკლ ავს
აქტები	აქტ ები
ბლოკში	ბლოკ ში
სუბკონტინენტზე	სუბ კონტინენ ტზე
ბურჯები	ბურჯ ები
სიტყვიერი	სიტყვიერ ი
ხისა	ხი სა
აბასიანთა	აბას იანთა
არასწორ	არასწორ
მფარველის	მფარველ ის
პერიოდზე	პერიოდ ზე
სულების	სულ ების
ჰენდრის	ჰენდრი ს
ამოწეული	ამო წეული
დააკლდა	და აკლ და
ვლინდება	ვლინ დება
სასოწარკვეთილ	სასოწარ კვეთილ
საჩუქარი	საჩუქ არი
მგლოვიარე	მგლოვია რე
მეგობარს	მეგობარ ს
ვიღაცას	ვიღაც ას
სამხრეთ	სამხრეთ
ინსტიტუცია	ინსტიტუცი ა
პორტუში	პორტ უში
სილვესტერ	სილვესტერ
ბარძაყის	ბარ ძაყის
მანქანების	მანქან ების
ნირო	ნი რო
კოლექტივი	კოლექტი ვი
კომპილაციის	კომპილ აციის
ნაპოლეონს	ნაპოლეო ნს
ჯავშანტრანსპორტიორი	ჯავშან ტრანსპორტ იორი
თ	თ
მატჩს	მატჩ ს
ჩოგბურთი	ჩოგბურთ ი
სტანდარტიზაცია	სტანდარტ იზაცია
საქართველოსთვის	საქართველო სთვის
სადილად	სადილ ად
ეროტიული	ეროტი ული
ფრონეს	ფრო ნეს
გაცურეს	გაც ურეს
ვარიაციის	ვარიაცი ის
ავიაკომპანია	ავიაკომპანი ა
ჯანგო	ჯან გო
მონობის	მონ ობის
კვლევებისა	კვლევ ებისა
მასალებიდან	მასალ ებიდან
სავანებში	სავან ებში
ენეასის	ენეას ის
ვუწოდებთ	ვუწოდ ებთ
სახელწოდებაც	სახელწოდ ებაც
ტრამვაის	ტრამვა ის
ნარინი	ნარინ ი
მოწყობილობის	მოწყობ ილობის
მოწყვეტილი	მოწყვეტ ილი
ფაბიუს	ფაბიუს
კარაკასის	კარ აკასის
მზადყოფნაში	მზადყოფ ნაში
მუზეუმები	მუზეუმ ები
დიალექტიკური	დიალექტ იკური
კოშკური	კოშკ ური
კონტინენტი	კონტინენ ტი
გოგრა	გოგ რა
გეომეტრიის	გეომეტრ იის
აზროვნების	აზროვნების
აკრის	აკრი ს
ნადია	ნად ია
კრივის	კრივ ის
ფარავს	ფარავ ს
ვეფხვისებრი	ვეფხვ ისებრი
მისურის	მის ურის
ნოყიერი	ნოყიერ ი
ანტისაბჭოთა	ანტი საბჭო თა
მაჟორიტარი	მაჟორიტა რი
შეეტანა	შეე ტანა
უნგრეთისა	უნგრეთ ისა
კოცონი	კოც ონი
მამლუქების	მამლუქ ების
მანჰეტენზე	მანჰეტენ ზე
ტოტის	ტოტ ის
აპოგეას	აპ ოგეას
ადმირალი	ადმირალ ი
ყავისფერია	ყავისფერ ია
ცხვრები	ცხვრ ები
გამოიყვანეს	გამოიყვან ეს
დანგრევის	დანგრევ ის
დამბა	დამ ბა
მორგებული	მორგ ებული
ეტაპი	ეტაპ ი
მეტალის	მეტალ ის
ალექსანდრეს	ალექსანდრ ეს
სადგურიდან	სადგურ იდან
სტადიაში	სტადი აში
ვაზს	ვაზ ს
ნაჭრები	ნაჭრ ები
ფილოსოფოსების	ფილოსოფ ოსების
კუდზე	კუდ ზე
კონსტრუქცია	კონსტრუქ ცია
მთლად	მთ ლად
სტაბილიზაცია	სტაბილიზ აცია
უკმაყოფილების	უ კმაყოფი ლების
საბჭოსთან	საბჭო სთან
წარდგენილია	წარდგენ ილია
სიმონეს	სიმონ ეს
ბავშვებისა	ბავშვ ებისა
სოციალისტთა	სოციალის ტთა
ჟამის	ჟამ ის
პადუის	პადუ ის
წიგნებში	წიგნ ებში
ნაპერწკალი	ნა პერ წკალი
თარგმნილი	თარგმნ ილი
გებრიელი	გებრიელ ი
ირჩენდნენ	ირჩენ დნენ
კოგნიტურ	კოგნ იტურ
სირიონის	სირი ონის
ეპარქია	ეპარქი ა
ასმერა	ას მერ ა
გასატარებლად	გასა ტარებლად
ფილიალების	ფილია ლების
კუპერის	კუპერ ის
ავსტრიელებს	ავსტრი ელებს
ბრწყინვალება	ბრწყინვალ ება
სტადიაზე	სტადი აზე
ქორწინებამ	ქორწინ ებამ
მუხლით	მუხლ ით
შესაძლებელი	შესაძლებ ელი
მემკვიდრის	მემკვიდრ ის
მოჰყავდა	მოჰყავ და
მეხსიერებას	მეხსიერ ებას
შეჯიბრებები	შეჯიბრე ბები
მოსვლის	მოსვლ ის
მოპირდაპირედ	მოპირდაპირე დ
მსოფლმხედველობის	მსოფლმხედვ ელობის
სამაგიდო	სამაგი დო
ტრადიციები	ტრადიცი ები
გაზრდილია	გაზრდ ილია
დრამატურგიაში	დრამატ ურგიაში
საფუძველზეა	საფუძველზე ა
რივიერა	რივი ერა
გერის	გერ ის
მაღაზიის	მაღაზი ის
ედესაში	ედეს აში
ევროპა	ევროპ ა
მრბოლელი	მ რბოლ ელი
ტომებისაგან	ტომ ებისაგან
გლეხობა	გლეხ ობა
ოსლოს	ოსლო ს
დასაპყრობად	დასა პყრობ ად
ზეწოლის	ზეწოლი ს
ბიოლოგიური	ბიოლოგი ური
ჯარისკაცის	ჯარისკა ცის
ვითარებაში	ვითარ ებაში
მასშტაბს	მასშტაბ ს
ნანი	ნან ი
დუმილის	დუმი ლის
მერყეობა	მერყეობ ა
ღმერთსა	ღმერთ სა
ბერებმა	ბერ ებმა
დომინგო	დომინ გო
მათგანზე	მათგან ზე
პროვანსის	პრ ოვანსის
დროინდელმა	დროინდ ელმა
ოსბორნი	ოსბორ ნი
ლიგისა	ლიგ ისა
გამომდინარეობდა	გამომდინარეობ და
დაპირისპირებამ	დაპირისპირ ებამ
კურფიურსტი	კურფიურსტ ი
ძროხა	ძროხ ა
ძღვენის	ძღვენ ის
დაუსრულებია	დაუსრულ ებია
ხელნაწერია	ხელნა წერია
დაემართა	და ემართა
უმრავლესობაზე	უმრავლესობ აზე
კოდექსით	კოდექს ით
ზურგიდან	ზურგ იდან
კომპოზიტორია	კომპოზიტორ ია
მოგზაურობისას	მოგზაურ ობისას
ტყისა	ტყ ისა
ბეთლემის	ბეთლე მის
გამოხდა	გამოხდ ა
ბაქანი	ბაქან ი
კომფორტული	კომ ფორტ ული
სახლობდნენ	სახლ ობდნენ
კლაუდიო	კლა უდიო
ევგენის	ევგენი ს
ზღვებსა	ზღვ ებსა
ანრიმ	ან რიმ
დააყენა	და აყენა
მაღალტემპერატურული	მაღალ ტემპერატურ ული
ჰუსართა	ჰუ სართა
მუშახელის	მუშახელ ის
ბიზანტიასა	ბიზანტი ასა
აღტაცებით	აღტაც ებით
სანატორიუმი	სანატორი უმი
მიითვალა	მიი თვალა
მოხსენებული	მოხსენ ებული
კახეთისა	კახეთ ისა
საღებავებით	საღებავ ებით
შვედეთი	შვედ ეთი
შეტანას	შეტან ას
ჯანმრთელობაზე	ჯანმრთელ ობაზე
მოკრძალებულად	მოკრძალ ებულად
განიმარტება	განიმარტ ება
დაწინაურდა	დაწინაურ და
ოცნება	ოცნებ ა
მოსახლეობამაც	მოსახლე ობამაც
ბარები	ბარ ები
წამება	წამ ება
დამყარებას	დამყარ ებას
პროგრესის	პროგრე სის
ანთების	ანთ ების
მომდინარე	მომდინარ ე
ფრანგულის	ფრანგულ ის
უმცირესობათა	უმცირესობა თა
ფორმად	ფორმ ად
ბოსნიაში	ბოსნი აში
გალაქტიკათა	გალაქტ იკათა
ქვეყნები	ქვეყნებ ი
აღმოსავლეთის	აღმოსავლეთ ის
მოუგო	მოუ გო
საექსპლუატაციო	საექსპლუატაც იო
ფერმერი	ფერმერ ი
დარღვევები	დარღვევ ები
ელენე	ელ ენე
კომპოზიტორს	კომპოზიტორ ს
ფეხსაცმელს	ფეხსაც მელს
წყალმარჩხი	წყალმარჩხ ი
იფიქრონ	იფიქრ ონ
არადა	არა და
მოთამაშეა	მოთამაშ ეა
ბირმის	ბირ მის
მუხლი	მუხლ ი
რაზმში	რაზმ ში
რომანების	რომან ების
ტალახით	ტალახ ით
ენთუზიაზმი	ენთუზიაზ მი
გააფრთხილეს	გაა ფრთხილ ეს
მათემატიკაში	მათემატიკ აში
დადგინდეს	დადგ ინდეს
ფინური	ფინ ური
ოლიმპი	ოლიმპი
ლიტველები	ლიტვ ელები
ჰოსპიტალში	ჰოსპიტა ლში
ლაყუჩები	ლაყუჩ ები
ფარფლი	ფარ ფლი
ბალახს	ბალახ ს
მიემგზავრებოდა	მიემგზავრ ებოდა
ფაზაში	ფაზ აში
კერძი	კერძ ი
პაულას	პაულ ას
უფასო	უფას ო
გემზე	გემ ზე
პროცესორი	პროცეს ორი
იუნგის	იუნგ ის
შეჯამება	შე ჯამ ება
დანიელმა	დანიელ მა
მთაგორიანი	მთაგორ იანი
სამთავრო	სამთავრო
ფერდობის	ფერდობ ის
ნებადართული	ნებადართული
გაჰყავდათ	გაჰყავ დათ
სააკაძეს	სააკაძე ს
ცოტაა	ცოტა ა
წერენ	წერ ენ
ტექნიკუმში	ტექნიკ უმში
საშუალოზე	საშუალ ოზე
გაეუმჯობესებინა	გაე უმჯობეს ებინა
ნათლად	ნათლ ად
საგარეო	საგარე ო
მთებამდე	მთ ებამდე
საკონფერენციო	სა კონფერენ ციო
შუადღის	შუადღ ის
ხუანა	ხუან ა
ერის	ერი ს
რეინოლდსი	რეინოლდს ი
აღმსრულებელი	აღმ სრულებელი
პასით	პას ით
ლინი	ლინ ი
ფორმების	ფორმ ების
ამაღლებული	ამაღლ ებული
გახდებოდა	გახდ ებოდა
ბეიბი	ბეი ბი
ამოსვლას	ამოსვლ ას
აყვავების	აყვავ ების
სანსი	სან სი
გლენ	გლ ენ
შენაერთის	შენაერთ ის
ბიძამისი	ბიძამ ისი
მონასტერთან	მონასტერ თან
თვალისთვის	თვალ ისთვის
დაღესტნური	დაღესტ ნური
აკრძალა	აკრძალ ა
კილი	კი ლი
მოქმედებები	მოქმედ ებები
მერმე	მერ მე
თემად	თემ ად
საზრუნავი	სა ზრუნავ ი
კერტისი	კერ ტისი
უშლიდა	უშლი და
უკუაგდეს	უკუ აგდეს
საშუალებათა	საშუალებ ათა
ინსტრუმენტალური	ინსტრუმენ ტალური
იტალიას	იტალი ას
შენარჩუნებაზე	შენარჩუნება ზე
ყიზილბაშთა	ყიზილბაშ თა
იდენტურობა	იდენტურ ობა
დაპირისპირებით	დაპირისპირ ებით
რეჟისურა	რეჟისურ ა
უფლებებიც	უფლებ ებიც
საძინებელში	საძინებელ ში
კოვალევსკის	კო ვალევსკ ის
განშორების	განშორ ების
რუსულ	რუსულ
მურის	მურ ის
მოხვდებიან	მოხვდ ებიან
იმერთა	იმერ თა
კლება	კლ ება
აბდიჩი	აბდ იჩი
გოგონების	გოგონ ების
სანჩო	სან ჩო
შრატში	შრ ატში
ძმები	ძმ ები
პირთათვის	პირთა თვის
მამაკაცის	მამაკაც ის
გავიკეთეო	გავი კეთეო
გამოფიტვა	გამოფიტ ვა
ტკივილს	ტკივილ ს
აღდგენისათვის	აღდგენი სათვის
კეთილგანწყობის	კეთილგანწყობი ს
მანქანათსაშენი	მანქან ათსაშენი
მუხლში	მუხლ ში
სტრუქტურასა	სტრუქტურ ასა
ფუნქციით	ფუნქცი ით
ათასწლეულს	ათასწლეუ ლს
დუმა	დუ მა
იძულებული	იძულებულ ი
განასახიერებდა	განასახიერ ებდა
დაკავშირების	დაკავშირებ ის
განრისხდა	განრისხ და
თურქმანთა	თურქ მანთა
კათოდზე	კა თოდზე
ნეკრესის	ნეკ რესის
დავურეკავ	დავურეკ ავ
მედალიონში	მედალ იონში
ბაქტერიების	ბაქტერი ების
თვითმკვლელობამდე	თვითმკვლელო ბამდე
დროით	დრო ით
როგორიც	როგორ იც
არაცნობიერი	არა ცნობიერ ი
დრუნჩი	დრუნჩ ი
პერსონის	პერ სონის
სიმინდი	სიმინდ ი
დაბრკოლება	დაბრკოლ ება
ინგლისმა	ინგლის მა
გადაეტანათ	გადა ეტანათ
ჩარევით	ჩარევ ით
შესასვლელიდან	შესასვლე ლიდან
პინკი	პინ კი
კორნელი	კორნელი
კენტუკის	კენტ უკის
ნათება	ნათ ება
კუპელჰალეს	კუ პელჰალეს
კმარა	კმარა
საქციელმა	საქცი ელმა
ჩამოყალიბდეს	ჩამოყალიბ დეს
ღვთაებებს	ღვთაებ ებს
სანდოვალი	სანდ ოვალი
იაგაილომ	იაგაილო მ
დაჯდომის	დაჯდომ ის
კალოს	კალ ოს
შეუერთდა	შეუერთ და
ვილჰელმ	ვილჰელმ
პირველის	პირველ ის
თხოვა	თხოვ ა
განმანათლებლის	განმანათლ ებლის
შემდეგმა	შემდეგ მა
ჰორმონის	ჰორმონ ის
მუჰაჯირობის	მუჰა ჯირ ობის
გუნდებს	გუნდ ებს
ოქტომბერსა	ოქტომბერ სა
მომხმარებლები	მომხმარებ ლები
ბაქტერიებს	ბაქტერი ებს
დინოზავრის	დინოზავრ ის
იმავეს	იმავე ს
ტერიტორიასაც	ტერიტორი ასაც
ფრინველებზე	ფრინველ ებზე
მიაკუთვნეს	მიაკუთვნ ეს
ჩამონადენი	ჩამონა დენი
სახელითაა	სახელ ითაა
არისტოკრატიულ	არისტოკრატი ულ
მილუოკი	მილუოკ ი
სამაშველო	სა მაშველ ო
მასონური	მა სონ ური
რიგა	რიგ ა
ჩამონათვალს	ჩამონა თვალს
სიმაღლემდე	სიმაღლე მდე
ქობაირის	ქო ბაირ ის
შემდგომმა	შემდგომ მა
გაზრდით	გაზრდ ით
ზე	ზე
ჩაენაცვლებინა	ჩა ენაცვლ ებინა
დროდადრო	დრო დადრო
მიართვა	მია რთვა
სიმაღლე	სიმაღლე
იუდეველი	იუდევ ელი
შტაბში	შტაბ ში
ძუძუმწოვარი	ძუძუმწოვ არი
გამოსვლებისას	გამოსვლ ებისას
დაეპატრონენ	დაე პატრონ ენ
გამონაყარი	გამონა ყარი
შტოდ	შტო დ
სიმძიმე	სიმძიმ ე
სამეგრელოს	სამეგრელო ს
ჰენ	ჰენ
ჩაგდებას	ჩაგდ ებას
მოჭადრაკეთა	მოჭადრაკ ეთა
მოკლავენ	მოკლ ავენ
მხარდაჭერამ	მხარდაჭ ერამ
ისტორიოგრაფიის	ისტორიოგრაფი ის
ტალახში	ტალახ ში
თქმულებებს	თქმულებ ებს
გაბრტყელებული	გა ბრტყელ ებული
მოგზაურობამ	მოგზაურ ობამ
კრიუგერი	კრი უგერი
დაბომბვების	დაბომბ ვების
ტრადიციაა	ტრადიცი აა
გარეული	გარე ული
ექვსის	ექვს ის
ფუძეა	ფუძე ა
დააფუძნა	დააფუძნ ა
დიალექტების	დიალექტ ების
ავტორმა	ავტო რმა
რეცეპტი	რეცეპტი
გამგრძელებელი	გამ გრძელებელი
ლეიტენანტ	ლეიტენ ანტ
ბავშვობის	ბავშვ ობის
ფილარმონია	ფილარმონი ა
უახლოვდებოდნენ	უახლოვდ ებოდნენ
ზედა	ზე და
პროტესტანტული	პროტესტანტ ული
ვიზუალიზაციის	ვიზუალ იზაციის
საბადოებით	საბადო ებით
დეპოს	დეპ ოს
უოლკერი	უოლკერ ი
განთავსების	განთავს ების
ამაღლების	ამაღლ ების
თარო	თარო
პრომო	პრო მო
მიყენებული	მიყენებ ული
მოკავშირეებთან	მოკავშირე ებთან
უდგება	უდგ ება
ლეგირებული	ლეგ ირებული
საათია	საათ ია
კაბინეტის	კაბინეტ ის
ორკესტრმა	ორკესტრ მა
ლიტერატურიდან	ლიტერატურ იდან
მოზამბიკში	მოზამბიკ ში
მარცხენას	მარცხ ენას
ზურაბს	ზურა ბს
ალბომად	ალბომ ად
მოიხსენიებს	მოიხსენიებ ს
ჩრდილო	ჩრდილ ო
ვენესუელასა	ვენესუელ ასა
პოლარიზებული	პოლარ იზებული
ფიქრობენ	ფიქრ ობენ
გაეტანო	გაეტან ო
პოპულაციური	პოპულაცი ური
ზურაბ	ზურა ბ
უომრად	უ ომრად
ფონდის	ფონდ ის
ბუჩქია	ბუჩქ ია
ამაღლდა	ამაღლ და
არანაკლებ	არანაკლ ებ
გაერთიანებაზე	გაერთიან ებაზე
მეციხოვნეები	მეციხ ოვნ ეები
გადოლინიუმის	გად ოლინიუმის
მოყვითალო	მოყვ ითალო
ინგლისი	ინგლის ი
მონაკვეთით	მონაკვეთ ით
გელათის	გელათ ის
ბილიკით	ბილიკ ით
მორცხვი	მო რცხვი
პროკონსულის	პროკონსულ ის
ენისა	ენ ისა
ნაწარმის	ნაწარმ ის
რესპუბლიკამ	რესპუბლიკ ამ
დონემ	დონე მ
ელიავა	ელიავ ა
შევიდნენ	შევიდ ნენ
დიპლომის	დიპლომ ის
დასუსტებული	დასუსტ ებული
ძალაზე	ძალ აზე
ფიჭვი	ფიჭვ ი
თანამშრომლად	თანამშრომლ ად
ლიდერების	ლიდერ ების
მილიარდერი	მილიარდ ერი
საქმემ	საქმე მ
მორფოლოგიურ	მორფოლოგ იურ
პრობლემის	პრობლე მის
ადიან	ად იან
ქვაში	ქვ აში
აბდიჩის	აბდ იჩის
პოლიფონიური	პოლიფონი ური
წიაღისეულების	წიაღისეულ ების
ლორდმა	ლორდ მა
ობობას	ობ ობას
სიუ	ს იუ
შედგენას	შედგენ ას
შედეგადაა	შედეგ ადაა
პოლონეთი	პოლონეთ ი
განიმსჭვალა	განი მსჭვალა
თაფლოვანი	თაფლ ოვანი
ევროპელები	ევროპ ელები
ნატანების	ნატა ნების
თაყაიშვილის	თაყაიშვილ ის
კარნავალი	კარნა ვალი
აკავშირებენ	აკავშირ ებენ
კეროლ	კერ ოლ
მეტსახელია	მეტსახელ ია
ეზიარა	ეზი არა
მერქნის	მერქნ ის
ავიწყდება	ავიწყ დება
კადაფი	კადაფი
მოსკიტოს	მოსკი ტოს
მკვლევარს	მკვლევარ ს
სანტოსის	სანტ ოსის
სხვ	სხვ
საკონსტიტუციო	სა კონსტიტუცი ო
შეშინდნენ	შეშინ დნენ
რიშელიე	რიშელი ე
ჩვენ	ჩვენ
მოყვნენ	მო ყვნენ
ჩამოერთვა	ჩამო ერთვა
ვერც	ვერ ც
მუხტის	მუხტ ის
მიიწვიეს	მიი წვიეს
გამოსახულებას	გამოსახულებ ას
საბჭოელებს	საბჭო ელებს
ციურიხის	ციურიხ ის
ხალხისა	ხალხ ისა
ნაკურთხი	ნა კურთხი
ეკლესიაზე	ეკლესი აზე
მოწყობა	მოწყობ ა
დანაწილების	დანაწილ ების
ოლიგარქიული	ო ლიგ არქიული
აღმწერი	აღმწერ ი
ტერმინები	ტერმინ ები
გრამატიკული	გრამატ იკული
გატუნის	გა ტუნის
ათონზე	ათონ ზე
კომპენსაცია	კომპენს აცია
წესდების	წეს დების
დიუსელდორფის	დიუსელ დორ ფის
ისე	ის ე
წარმოიშვა	წარმოიშ ვა
წლებზე	წლ ებზე
თხოთის	თხ ოთის
ამოცანებს	ამოცან ებს
შუქს	შუქ ს
რაიკერი	რაი კერი
მსგავსება	მსგავს ება
კომპიუტერულ	კომპიუტე რულ
დამირეკე	დამირეკ ე
ხილული	ხილ ული
ადაპტაცია	ადაპტ აცია
აკა	აკ ა
ფინელები	ფინ ელები
უყვება	უყვ ება
ლომბარდიის	ლომბარ დიის
ზემოთაა	ზემოთ აა
ფეოდალთა	ფეოდალ თა
ჟლეტა	ჟ ლეტა
ჰორიზონტალურად	ჰორიზონტ ალურად
მგრძნობიარეა	მგრძნობ იარეა
მეფობდა	მეფ ობდა
ილექებოდა	ილექ ებოდა
ტაბიძე	ტაბ იძე
სითბოსა	სი თბოსა
ლაქა	ლაქ ა
დეილი	დე ილი
მარცვლეულის	მარცვლ ეულის
სისემ	ს ისემ
დაჭრილი	დაჭრილ ი
ოსკარით	ოსკარ ით
ქვრივები	ქვრივ ები
მიწვევა	მიწვევ ა
საბოლოოს	საბოლო ოს
რუანდა	რუანდ ა
სათანადო	სათანად ო
კინოფილმების	კინოფილმ ების
საფრთხის	საფრთხ ის
შერჩა	შერ ჩა
წყალგამყოფ	წყალგამყოფ
რბილ	რ ბილ
ამოიღეს	ამოი ღეს
ჟიურის	ჟიური ს
ხულიო	ხული ო
გამავრცელებელი	გამავრცელებ ელი
ტაძრად	ტაძრ ად
ბლოგის	ბლოგ ის
ჩანაცვლებული	ჩანაცვლ ებული
შეცდომის	შეცდომ ის
აბრეშუმა	აბრეშუმ ა
ბენედიქტე	ბენედიქტ ე
ატოლების	ატოლ ების
კანცელარია	კანცელარი ა
ჩაკეტეს	ჩაკეტ ეს
გრძედის	გრძ ედ ის
როჯერსი	როჯერ სი
მაროკოში	მაროკო ში
განსხვავებულად	განსხვავებ ულად
განკურნა	განკურნ ა
ნაჭრის	ნაჭრ ის
ქინქლაძე	ქინქლაძ ე
ვენესუელას	ვენესუელ ას
აივსო	ა ივს ო
არაჩვეულებრივი	არა ჩვეულებრივ ი
სანადიროდ	სანადირ ოდ
სუბსტრატზე	სუბ სტრატზე
მოსახელე	მოსახელ ე
შემადგენლობას	შემადგენლობა ს
ცხოვრებიდან	ცხოვრებ იდან
აღიარება	აღიარ ება
გაჭრილია	გაჭრ ილია
დასკვნების	დასკვნ ების
მუშარაფი	მუშა რაფი
აგებისას	აგებ ისას
არტილერიით	არტილერი ით
დააკისრეს	და აკისრ ეს
ევოლუციას	ევოლუცი ას
კომპანიებთან	კომპანი ებთან
მიწაზე	მიწ აზე
ტრილოგიას	ტრილოგ იას
მუშაობს	მუშაობ ს
დაეცემა	დაე ცემა
კონსტანტინოპოლს	კონსტანტინოპოლ ს
რვის	რ ვის
ოკლენდში	ოკლენდ ში
მძღოლის	მძღოლ ის
მოიცემა	მოი ცემა
თხრობის	თხრობ ის
ოლიმპიადა	ოლიმპიად ა
უთმობდნენ	უთმ ობდნენ
პოპულარული	პოპულარულ ი
გახსნილ	გახსნ ილ
ტანსაცმლისა	ტანსაცმ ლისა
ასამბლეას	ასამბლე ას
მიმართულებებით	მიმართულ ებებით
კრემაცია	კრემ აცია
აირჩიეს	აირჩი ეს
გათლილი	გა თლილი
ბალადა	ბალად ა
თავისუფალი	თავისუფა ლი
შანშიაშვილის	შან შიაშვილის
შატბერდის	შატ ბერდის
ხიდაშელი	ხიდ აშელი
ფინალისკენ	ფინალ ისკენ
სითების	ს ითების
კარლოს	კარლ ოს
კენკროვანი	კენკრ ოვანი
შაბათი	შაბათ ი
დედოფლის	დედოფლ ის
ხელებიდან	ხელ ებიდან
მეორეხარისხოვანი	მეორეხარისხ ოვანი
ეჩვენა	ეჩვენ ა
მუდმივმა	მუდმივ მა
მასალაში	მასალ აში
მკვებავი	მკვებ ავი
გაჩენა	გაჩენ ა
სახელწოდებას	სახელწოდ ებას
სინგურით	სინგ ურ ით
ტოკიოს	ტოკი ოს
გამოქვაბულიდან	გამოქვაბუ ლიდან
გადააგდო	გადა აგდო
ფორმებით	ფორმ ებით
ჩამოაშორა	ჩამოაშორ ა
მაჰმადიანობა	მაჰმადიან ობა
სადავოა	სადავ ოა
მთავრობისგან	მთავრობ ისგან
სამალავია	სამალავ ია
აღზრდა	აღზრდ ა
უწყებას	უწყ ებას
სოციალიზმს	სოციალიზმ ს
უფლებამოსილების	უფლებამოსი ლების
მოიაზრება	მოიაზრ ება
მებაღეობის	მებაღე ობის
ლომი	ლო მი
ალბათური	ალბათ ური
გრამს	გრამ ს
მართლმორწმუნე	მართლ მორწმუნ ე
ხელწერა	ხელ წერა
მერეც	მერ ეც
ელემენტებს	ელემენტ ებს
შეყვარებულთან	შეყვარებულ თან
წრეებთან	წრე ებთან
მიიჩნევა	მიიჩნევ ა
მოუწია	მოუ წია
ნუცუბიძე	ნუცუბ იძე
პირებმა	პირებ მა
მისის	მის ის
დეკადის	დეკად ის
ოცდამესამე	ოცდა მესამე
საზოგადოებამდე	საზოგადო ებამდე
ანბანზე	ანბან ზე
არცაა	არც აა
გაიშალა	გაი შალა
სიტყვასიტყვით	სიტყვა სიტყვ ით
ბერბერი	ბერბერ ი
მოკლულის	მოკლ ულის
ბანკი	ბანკ ი
ციციანოვის	ციციან ოვის
ჩერჩილის	ჩერჩილ ის
ავგუსტი	ავგუსტ ი
კვლევებზე	კვლევ ებზე
ორმოცი	ორმო ცი
უმცროსის	უმცროს ის
კეტრინ	კეტ რინ
დრავიდულ	დრავიდ ულ
იღებდა	იღ ებდა
მსახურობა	მსახურ ობა
მკვიდრმა	მკვიდრ მა
ბანაკები	ბანაკ ები
მოხატულობა	მოხატულ ობა
სიმღერისათვის	სიმღერ ისათვის
შელფის	შელფ ის
ექსკლუზიური	ექსკლუზი ური
დღიურებში	დღიუ რებში
დაესხნენ	დაესხ ნენ
კონცხზე	კონცხ ზე
მასალებით	მასალ ებით
ბიოგაზის	ბიო გაზ ის
ისლამზე	ისლამ ზე
გალაკტიონის	გალაკტიონ ის
ოლქად	ოლქ ად
ჯუნგლების	ჯუნგ ლების
კოპა	კოპ ა
მებაღეობაში	მებაღე ობაში
ხეობის	ხეობ ის
დაკუნთული	და კუნთ ული
პატივსაცემი	პატივ საცემი
ჯორჯო	ჯორჯ ო
აზიასთან	აზი ასთან
წარმოდგენებით	წარმოდგენ ებით
კუნთოვანი	კუნთ ოვანი
ელისაბედის	ელისაბ ედის
კაცისგან	კაც ისგან
კირილიცას	კირილიც ას
დორტმუნდის	დორტმუნდ ის
